Ex. 1 Part (A) (B),,,,,,,,,,,,,,,,,,,,,
Value-weighted,,,,,,,,,,,,,,,,,,,,,
Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10,Mkt-RF,RF
192607,-99.99,0.14,1.59,3.42,0.37,0.78,1.68,1.39,3.67,-0.12,0.52,-0.05,1.31,1.21,2.04,1.58,1.29,3.53,3.71,2.96,0.22
192608,-99.99,3.19,2.77,2.91,2.21,3.51,3.75,1.53,3.07,1.13,2.55,4,3.2,2.81,4.45,1.61,1.49,0.61,3.79,2.64,0.25
192609,-99.99,-1.73,-0.88,0.8,-1.39,-1.06,0.05,-0.26,0.81,0.59,-2,-2.01,-0.46,-0.06,0.14,-2.02,0.74,-0.77,1.25,0.36,0.23
192610,-99.99,-2.94,-3.28,-2.79,-2.56,-3.93,-2.67,-3.38,-2.74,-4.29,-2.01,-3.25,-4.35,-2.93,-2.48,-3.6,-3.26,-3.36,-2.56,-3.24,0.32
192611,-99.99,-0.38,3.73,2.74,-0.95,2.94,3.52,3.25,2.71,-3.28,-0.23,0.08,4.74,3.64,3.44,3.63,3.05,3.86,2.4,2.53,0.31
192612,-99.99,4.15,1.51,3.04,2.45,3.58,1.33,2.68,3,-2.49,3.93,5.6,2.4,1.21,1.42,1.41,3.37,3.11,2.97,2.62,0.28
192701,-99.99,1.21,1.59,-0.03,1.52,2.14,1.14,1.1,-0.12,1.66,1.49,0.95,2.85,-0.53,2.35,1.67,0.8,0.43,-0.27,-0.06,0.25
192702,-99.99,6.39,6.95,4.2,7.62,5.86,6.98,5.11,4.22,6.32,7.98,5.35,6.16,5.56,7.99,7.18,3.98,4.9,4.03,4.18,0.26
192703,-99.99,-1.97,-1.51,0.92,-3.57,-0.77,-3.12,-1.16,1.24,-5.45,-3.05,-0.57,-0.88,-3.04,-3.17,0.02,-1.82,-0.69,1.78,0.13,0.3
192704,-99.99,3.79,0.3,0.84,5.03,1.25,0.47,0.04,0.93,5.05,5.03,2.71,0.42,0.69,0.31,0.08,0.02,-0.18,1.24,0.46,0.25
